"","SampleSize","min1.x","max1.x","mean1.x","sd1.x","ks.x","pval.x","diff1.x","min1.y","max1.y","mean1.y","sd1.y","ks.y","pval.y","diff1.y"
"1",200,0.503106606302291,3.46403433543666,1.00276720931816,0.311271265036295,0.42,4.91454581356037e-77,0.0821006516924493,0.818113241873301,1.26001021652811,1.00665839937246,0.0655872720676469,0.334,7.12647510685988e-49,0.0342686608024542
"2",500,0.649787834504345,2.03022455071301,1.00991352061994,0.198122445417698,0.307,2.33996504989511e-41,-0.00562556849945139,0.888031414305498,1.12208073091186,1.00387374925041,0.0423349577389469,0.284,1.87315736087914e-35,0.00457570345692247
"3",1000,0.715451111661517,1.78067317103921,0.999054657293108,0.130311075494471,0.239,3.11669923843012e-25,0.0110814017674674,0.911408096199495,1.10767334992583,1.00322209775846,0.0305977621932648,0.244,2.78531117157957e-26,-0.000426112719749367
"4",1200,0.757629685018701,1.73724315250016,1.00151226619219,0.119685136838344,0.204,1.68822698083432e-18,0.00429527913860894,0.927722336433675,1.0856385319472,1.00103719018216,0.0266989925172573,0.208,3.24872933955316e-19,0.00219150306162953
"5",1400,0.780786749658066,1.44456431278404,1.00651998593858,0.109814316609552,0.194,9.03489011170845e-17,0.00828994631450775,0.930406064264405,1.08698039586257,1.0016973166041,0.0254202382397819,0.204,1.68822698083432e-18,0.00145279864764888
"6",1600,0.786026611972419,1.45439691387419,1.0059354469974,0.102618550641274,0.169,7.89124083655036e-13,0.00529270632079536,0.932736670012145,1.09969279085024,1.00149045768789,0.0243373369509107,0.194,9.03489011170845e-17,0.000374093782821116
"7",1800,0.793628983832047,1.36709050607536,0.999956715482034,0.0977902488583503,0.182,8.23113220310456e-15,-0.00126181450043891,0.934007909510913,1.09785655601869,1.00197889615308,0.0213860434904746,0.177,4.95470922284416e-14,0.00179596720424974
"8",2000,0.794400310493574,1.42765197126562,0.997025118257483,0.0866138009188269,0.152,1.84965310463623e-10,0.00848653469345913,0.926521721351506,1.07179614629396,1.00088570080856,0.0210038852766366,0.164,4.17105205971741e-12,0.00053397289159782
"9",2500,0.828583228335904,1.37303604296262,1.00112992269873,0.083736890770949,0.121,8.76041108639824e-07,0.00115451134985327,0.944884069667032,1.06558119763332,1.0006003781655,0.0190322357078753,0.118,1.79437673449938e-06,0.00132960641606816
"10",2700,0.804176562497087,1.32845617779055,1.00143879575721,0.0846685562883222,0.146,1.10562746728724e-09,-0.00241551894083641,0.944036576667854,1.05527003280999,1.00014972376319,0.0185402038280636,0.114,4.53877766275708e-06,-0.000155280785063206
"11",2800,0.816991995442291,1.37560962214032,1.00505334705904,0.080021115270289,0.096,0.00019887127149966,0.00464744101803317,0.945590313833014,1.04849008881656,1.00124517908904,0.0174399717005315,0.117,2.26972286587857e-06,0.00110023212753212
"12",3000,0.807799327748873,1.32396152182336,0.998037795544562,0.0761361814534123,0.118,1.79437673449938e-06,-0.00035477320053566,0.939799111671963,1.06049623963825,0.999784807402625,0.0169080755294456,0.103,4.93855434436346e-05,0.000554318085359596
"13",4000,0.843647516388672,1.26500134170272,1.00253771335381,0.0675733179889444,0.057,0.0776214640889802,-0.00338341408267562,0.956748971655526,1.05548190605978,1.00114538678839,0.0143103237247032,0.063,0.0377843772330914,0.000376396143782893
"14",5000,0.871064169210022,1.25975595787187,1.00207398481294,0.0597887848468981,0.044,0.287719803332622,0.00269310625495936,0.951875886910252,1.04502949240325,1.00010727848881,0.0127722297091032,0.03,0.75909783849229,0.000516597792772893
